实际值	预测值
1	1.0231962649261814
1	1.1188100756511503
1	1.0202297931250786
1	0.9823469311963893
1	1.074590431492046
1	1.056920233358154
1	1.0421754001136263
1	1.0456248137451554
1	1.026092545762255
1	0.9889539460983215
1	0.9838931736102499
1	1.1275519518419426
1	0.9977296566944156
1	1.1565632281420686
1	1.0198324199384419
1	0.971708233103816
1	1.123452817006306
1	1.0561388198019737
1	0.9864598651797319
1	1.0541446416663496
1	1.025222675715146
1	0.99189190892789
1	1.0907131816737805
1	1.065107900151975
1	1.0132999579198674
1	0.9730764028745742
1	0.9889083757625294
1	1.130913273251151
1	1.0872792544857335
1	1.0082555791596008
1	1.0735443654872312
1	1.000691073051738
1	1.002931763748515
1	1.0225369946468197
1	1.1042548266794856
1	1.0541560408328006
1	1.0983992143220602
1	0.944540994760552
1	1.124452851596397
1	1.110979295524986
1	0.9728262757165207
1	1.0022914082430898
1	1.0131172218717681
1	1.110348402269256
1	1.0751557356203563
2	1.367168467607319
1	0.9927485089636163
1	1.11007113388386
1	0.916412073747594
1	1.196297160043033
1	1.0013494475640972
1	0.9900372491155527
1	0.8778355583772481
1	1.0694809396854503
1	1.1383404201203278
1	0.9650416704558032
1	1.0024628049507112
1	0.994741881228772
2	1.0746846295136958
1	0.9814865183518389
1	0.929886527942605
1	0.9884213023791786
1	1.0672537785408114
1	1.0657155550786657
